16 3.281250000e-03 1.000000000e-02
-3.012655491869069238e+02 3.218782836248995238e+01 -7.786683730657603109e-01 -5.682392075733127967e+02
-2.044215749136072588e+02 2.074907398679991744e+01 -4.747029887154011751e-01 -4.054581097218103309e+02
-1.338819721495774502e+02 1.290242517611272355e+01 -2.785525589421685155e-01 -2.794627671084768394e+02
-8.373639155128446987e+01 7.668842071186672271e+00 -1.559499144834982642e-01 -1.839789800774529169e+02
-4.912822748015489793e+01 4.294298746407048561e+00 -8.219183023624841711e-02 -1.134546487810965658e+02
-2.611670501865308225e+01 2.208165828175613132e+00 -3.986431843587761453e-02 -6.302065215945064125e+01
-1.155015385281459928e+01 9.872952925498500454e-01 -1.700775342702783369e-02 -2.845044007752751014e+01
-2.950153591962213717e+00 3.253228864836711920e-01 -5.658137248138574507e-03 -6.118392965070713174e+00
1.593770518916433065e+00 6.717202027556312509e-03 -7.066204925530357190e-04 7.042982361779204226e+00
3.519228378884078356e+00 -1.148816078070281910e-01 9.749835502612201740e-04 1.358693288359178020e+01
3.876155221399523843e+00 -1.344761134511688605e-01 1.189517488939758868e-03 1.559730148094486957e+01
3.402450289377732418e+00 -1.101067139515620463e-01 8.922152691295934159e-04 1.473417951444360341e+01
2.590409195861481884e+00 -7.424005974884101411e-02 5.273980396293100276e-04 1.228016291502043700e+01
1.744300957978674571e+00 -4.254740333622084730e-02 2.558431635662643841e-04 9.186917513710927352e+00
1.029445477392428199e+00 -2.045296422744987547e-02 9.992740719080754153e-05 6.121611628264825633e+00
5.131495329284809781e-01 -7.815141114973700107e-03 2.926395937823584480e-05 3.512498478653061973e+00
