#1     2        3           4       5
#atom1 atom2    bond order  l0      k
H      H        1           0.740   10.000
H      C        1           1.095   16.457   #PN
H      N        1           1.019   22.172   #PN
H      O        1           0.973   24.436   #PN
H      F        1           0.920   14.000
C      C        1           1.538   10.082   #PN
C      C        2           1.334   20.893   #PN
C      C        3           1.198   36.309   #PN
C      N        1           1.465   11.327   #PN
C      N        2           1.282   22.493   #PN
C      N        3           1.153   38.659   #PN
C      O        1           1.423   12.723   #PN
C      O        2           1.225   27.545   #PN
C      O        3           1.130   21.000
C      F        1           1.350   11.000
C      S        1           1.820   13.000
Si    Si        1           2.360    9.487   #TEST
Si     C        1           1.89    10.000   #TEST
Si     H        1           1.46    15.604   #TEST
N      N        1           1.442    9.510   #PN
N      N        2           1.267   18.473   #PN
N      N        3           1.100   13.000
N      O        1           1.415    7.641   #PN
N      O        2           1.243   14.865   #PN
N      O        3           1.100   15.000
O      O        1           1.465    5.408   #PN
O      O        2           1.210   10.000
E      C        1           0.500   10.000
E      N        1           0.500   10.000
E      O        1           0.500   10.000
E      F        1           0.500   10.000
