z,symbol,name,period,group,shell,radius_cov,vdw,color_hex,molar_mass_g_mol
1,H,Hydrogen,1,1,S,0.365,1.487,#FFFFFF,1.008
2,He,Helium,1,0,0,0.320,1.481,#D9FFFF,4.0026
3,Li,Lithium,2,1,S,1.395,2.000,#CC80FF,6.94
4,Be,Beryllium,2,2,S,0.975,2.000,#C2FF00,9.0122
5,B,Boron,2,3,P,0.835,2.080,#FFB5B5,10.81
6,C,Carbon,2,4,P,0.735,1.908,#909090,12.011
7,N,Nitrogen,2,5,P,0.700,1.780,#3050F8,14.007
8,O,Oxygen,2,6,P,0.665,1.661,#FF0D0D,15.999
9,F,Fluorine,2,7,P,0.605,1.750,#90E050,18.998
10,Ne,Neon,2,0,0,0.690,1.543,#B3E3F5,20.180
11,Na,Sodium,3,1,S,1.670,2.770,#AB5CF2,22.990
12,Mg,Magnesium,3,2,S,1.400,2.420,#8AFF00,24.305
13,Al,Aluminium,3,3,P,1.215,2.400,#BFA6A6,26.982
14,Si,Silicon,3,4,P,1.105,1.900,#F0C8A0,28.085
15,P,Phosphorus,3,5,P,1.030,2.100,#FF8000,30.974
16,S,Sulfur,3,6,P,1.010,2.000,#FFFF30,32.06
17,Cl,Chlorine,3,7,P,0.995,1.948,#1FF01F,35.45
18,Ar,Argon,3,0,0,0.840,1.880,#80D1E3,39.948
19,K,Potassium,4,1,S,2.080,3.020,#8F40D4,39.098
20,Ca,Calcium,4,2,S,1.770,2.780,#3DFF00,40.078
21,Sc,Scandium,4,3,D,1.520,2.620,#E6E6E6,44.956
22,Ti,Titanium,4,4,D,1.380,2.440,#BFC2C7,47.867
23,V,Vanadium,4,5,D,1.300,2.270,#A6A6AB,50.942
24,Cr,Chromium,4,6,D,1.335,2.230,#8A99C7,51.996
25,Mn,Manganese,4,7,D,1.395,2.250,#9C7AC7,54.938
26,Fe,Iron,4,8,D,1.325,2.270,#E06633,55.845
27,Co,Cobalt,4,9,D,1.305,2.250,#F090A0,58.933
28,Ni,Nickel,4,10,D,1.280,2.230,#50D050,58.693
